datetime,trashamount
2026-04-17T08:39:06.463637+00:00,18
2026-04-24T12:57:15.541085+00:00,41
2026-04-24T12:57:15.544278+00:00,47
2026-04-24T12:57:15.545336+00:00,47
2026-04-24T12:57:15.546937+00:00,13
2026-04-24T12:57:15.550539+00:00,31
2026-04-24T12:57:15.554550+00:00,45
2026-04-24T12:57:15.558038+00:00,43
2026-04-24T12:57:15.562240+00:00,0
2026-04-24T12:57:15.566082+00:00,0
2026-04-24T12:57:15.569874+00:00,0
2026-04-24T12:57:15.574772+00:00,15
2026-04-24T12:57:15.579121+00:00,0
2026-04-24T12:57:15.583228+00:00,0
2026-04-24T12:57:15.587127+00:00,14
2026-04-24T12:57:15.591795+00:00,26
2026-04-24T12:57:15.595925+00:00,19
2026-04-24T12:57:15.541085+00:00,47
2026-04-24T12:57:15.544278+00:00,50
2026-04-24T12:57:15.545336+00:00,50
2026-04-24T12:57:15.546937+00:00,15
2026-04-24T12:57:15.550539+00:00,34
2026-04-24T12:57:15.554550+00:00,50
2026-04-24T12:57:15.558038+00:00,50
2026-04-24T12:57:15.562240+00:00,0
2026-04-24T12:57:15.566082+00:00,0
2026-04-24T12:57:15.569874+00:00,0
2026-04-24T12:57:15.574772+00:00,16
2026-04-24T12:57:15.579121+00:00,0
2026-04-24T12:57:15.583228+00:00,0
2026-04-24T12:57:15.587127+00:00,15
2026-04-24T12:57:15.591795+00:00,28
2026-04-24T12:57:15.595925+00:00,20
2026-04-24T12:57:15.541085+00:00,28
2026-04-24T12:57:15.544278+00:00,34
2026-04-24T12:57:15.545336+00:00,35
2026-04-24T12:57:15.546937+00:00,12
2026-04-24T12:57:15.550539+00:00,20
2026-04-24T12:57:15.554550+00:00,32
2026-04-24T12:57:15.558038+00:00,28
2026-04-24T12:57:15.562240+00:00,0
2026-04-24T12:57:15.566082+00:00,0
2026-04-24T12:57:15.569874+00:00,0
2026-04-24T12:57:15.574772+00:00,9
2026-04-24T12:57:15.579121+00:00,0
2026-04-24T12:57:15.583228+00:00,0
2026-04-24T12:57:15.587127+00:00,11
2026-04-24T12:57:15.591795+00:00,17
2026-04-24T12:57:15.595925+00:00,15
2026-04-24T12:57:15.544278+00:00,1
2026-04-24T12:57:15.545336+00:00,4
2026-04-24T12:57:15.546937+00:00,0
2026-04-24T12:57:15.550539+00:00,2
2026-04-24T12:57:15.554550+00:00,11
2026-04-24T12:57:15.558038+00:00,10
2026-04-24T12:57:15.562240+00:00,0
2026-04-24T12:57:15.566082+00:00,0
2026-04-24T12:57:15.569874+00:00,0
2026-04-24T12:57:15.574772+00:00,0
2026-04-24T12:57:15.579121+00:00,0
2026-04-24T12:57:15.583228+00:00,0
2026-04-24T12:57:15.587127+00:00,1
2026-04-24T12:57:15.591795+00:00,5
2026-04-24T12:57:15.595925+00:00,2
2026-04-27T17:50:04.707645+00:00,50
2026-04-27T17:50:35.689870+00:00,56
2026-04-27T17:51:04.326402+00:00,65
2026-04-27T17:51:33.532968+00:00,9
2026-04-27T17:52:02.144697+00:00,20
2026-04-27T17:52:31.436963+00:00,77
2026-04-27T17:53:00.355258+00:00,82
2026-04-27T17:53:29.168659+00:00,0
2026-04-27T17:53:58.460516+00:00,0
2026-04-27T17:54:27.683904+00:00,0
2026-04-27T17:54:59.698392+00:00,9
2026-04-27T17:55:39.552073+00:00,0
2026-04-27T17:56:15.641899+00:00,0
2026-04-27T17:56:51.139388+00:00,11
2026-04-27T17:57:27.140446+00:00,29
2026-04-27T17:58:01.950232+00:00,16
2026-04-27T17:50:04.707645+00:00,47
2026-04-27T17:50:35.689870+00:00,59
2026-04-17T08:39:06.442247+00:00,12
2026-04-17T08:39:06.446781+00:00,0
2026-04-17T08:39:06.451123+00:00,0
2026-04-17T08:39:06.454327+00:00,13
2026-04-17T08:39:06.459287+00:00,27
2026-04-17T08:39:06.463637+00:00,18
2026-04-17T08:39:06.400150+00:00,28
2026-04-17T08:39:06.405325+00:00,34
2026-04-17T08:39:06.406773+00:00,35
2026-04-17T08:39:06.408831+00:00,12
2026-04-17T08:39:06.413087+00:00,20
2026-04-17T08:39:06.417141+00:00,32
2026-04-17T08:39:06.422368+00:00,28
2026-04-17T08:39:06.427136+00:00,0
2026-04-27T17:51:04.326402+00:00,56
2026-04-27T17:51:33.532968+00:00,9
2026-04-27T17:52:02.144697+00:00,19
2026-04-27T17:52:31.436963+00:00,66
2026-04-27T17:53:00.355258+00:00,69
2026-04-27T17:53:29.168659+00:00,0
2026-04-27T17:53:58.460516+00:00,0
2026-04-27T17:54:27.683904+00:00,0
2026-04-27T17:54:59.698392+00:00,10
2026-04-27T17:55:39.552073+00:00,0
2026-04-27T17:56:15.641899+00:00,0
2026-04-27T17:56:51.139388+00:00,12
2026-04-27T17:57:27.140446+00:00,28
2026-04-27T17:58:01.950232+00:00,17
2026-04-24T12:57:15.541085+00:00,1
2026-04-24T12:57:15.544278+00:00,0
2026-04-24T12:57:15.545336+00:00,0
2026-04-24T12:57:15.546937+00:00,0
2026-04-24T12:57:15.550539+00:00,1
2026-04-24T12:57:15.554550+00:00,3
2026-04-24T12:57:15.558038+00:00,1
2026-04-24T12:57:15.562240+00:00,0
2026-04-24T12:57:15.566082+00:00,0
2026-04-24T12:57:15.569874+00:00,0
2026-04-24T12:57:15.574772+00:00,0
2026-04-24T12:57:15.579121+00:00,0
2026-04-24T12:57:15.583228+00:00,0
